,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
29,road town,40,VG,1555765932,61,81.0,18.42,-64.62,13.87
30,batemans bay,14,AU,1555766293,92,69.01,-35.71,150.18,3.0
31,east london,0,ZA,1555765200,63,66.2,-33.02,27.91,19.46
32,bluff,18,AU,1555766322,79,71.34,-23.58,149.07,12.28
33,bandarban,20,BD,1555761600,58,87.8,22.2,92.22,6.93
34,hithadhoo,99,MV,1555766128,79,85.38,-0.6,73.08,14.47
35,shache,29,CN,1555766620,10,84.12,38.42,77.24,3.6
36,bronnoysund,0,NO,1555764600,52,60.8,65.46,12.2,13.87
37,hilo,75,US,1555766301,82,70.0,19.71,-155.08,4.7
38,riyadh,0,SA,1555761600,11,96.8,24.63,46.72,4.7
39,tambun,75,MY,1555765200,83,87.8,4.62,101.14,2.24
40,vaini,20,IN,1555761600,24,93.2,15.34,74.49,8.05
41,saint-philippe,90,CA,1555766336,93,42.01,45.36,-73.48,19.46
42,hobart,0,AU,1555766183,82,59.0,-42.88,147.33,5.82
43,souillac,0,FR,1555766143,29,75.99,45.6,-0.6,9.17
44,tiksi,7,RU,1555766345,85,7.62,71.64,128.87,5.12
45,umm lajj,99,SA,1555766336,62,74.4,25.02,37.27,21.74
46,cape town,40,ZA,1555765966,64,68.0,-33.93,18.42,14.99
47,pisco,75,PE,1555766128,30,73.0,-13.71,-76.2,3.36
48,corpus christi,1,US,1555766493,88,66.2,27.8,-97.4,3.36
49,arlit,0,NE,1555766387,4,101.58,18.74,7.39,2.95
50,qaanaaq,62,GL,1555766317,78,-14.88,77.48,-69.36,4.32
51,malindi,40,KE,1555761600,74,87.8,-3.22,40.12,13.87
52,boca do acre,99,BR,1555766621,83,78.72,-8.76,-67.39,1.34
53,esperance,40,TT,1555766184,83,86.0,10.24,-61.45,9.17
54,faanui,34,PF,1555766332,74,83.58,-16.48,-151.75,3.24
55,portland,90,US,1555766284,81,51.01,45.52,-122.67,4.7
56,alofi,25,NU,1555761600,65,77.0,-19.06,-169.92,16.11
57,kaitangata,91,NZ,1555766289,85,51.01,-46.28,169.85,4.0
58,lebu,45,ET,1555766316,43,74.58,8.96,38.73,6.58
59,mahebourg,75,MU,1555766041,74,82.4,-20.41,57.7,11.41
60,hanmer springs,100,NZ,1555766621,90,44.88,-42.52,172.83,6.42
61,punta arenas,0,CL,1555765986,81,48.0,-53.16,-70.91,34.45
62,iquitos,40,PE,1555761600,319,42.8,-3.75,-73.25,1.39
63,busselton,51,AU,1555766156,55,48.99,-33.64,115.35,11.59
64,beringovskiy,41,RU,1555766621,85,9.78,63.05,179.32,3.29
65,mar del plata,0,AR,1555766049,59,51.72,-46.43,-67.52,10.67
66,okhtyrka,36,UA,1555766622,33,54.78,50.31,34.89,3.15
67,doha,0,QA,1555761600,30,102.2,25.29,51.53,11.41
68,keetmanshoop,4,NA,1555765200,15,86.0,-26.57,18.15,6.93
69,upernavik,100,GL,1555766324,69,7.98,72.79,-56.15,7.54
70,neuquen,0,AR,1555761600,81,42.8,-38.95,-68.06,7.9
71,puerto ayora,20,EC,1555766164,83,78.01,-0.74,-90.35,6.93
72,clyde river,75,CA,1555765200,77,-2.21,70.47,-68.59,18.34
73,palmer,0,AU,1555766413,18,82.0,-34.85,139.16,16.11
74,san quintin,14,PH,1555766623,75,82.14,17.54,120.52,4.36
75,komsomolskiy,100,RU,1555766623,93,31.92,67.55,63.78,14.72
76,bambous virieux,75,MU,1555766041,74,82.4,-20.34,57.76,11.41
77,aklavik,90,CA,1555765200,92,15.8,68.22,-135.01,5.99
78,te anau,79,NZ,1555766308,98,39.66,-45.41,167.72,2.53
79,codrington,75,AU,1555766219,93,73.4,-28.95,153.24,2.44
80,namibe,42,AO,1555766355,77,74.94,-15.19,12.15,13.2
81,bubaque,23,GW,1555766623,74,76.02,11.28,-15.83,5.77
82,borogontsy,100,RU,1555766623,91,31.74,62.67,131.17,9.66
83,okhotsk,100,RU,1555766356,94,30.66,59.36,143.24,18.39
84,chernyshevskiy,89,RU,1555766623,88,18.24,63.01,112.47,4.7
85,pevek,100,RU,1555766339,95,6.72,69.7,170.27,8.1
86,geraldton,75,CA,1555765200,39,44.6,49.72,-86.95,17.22
87,ongandjera,0,NA,1555766469,26,90.78,-17.88,15.07,11.01
88,kapaa,20,US,1555766208,73,75.2,22.08,-159.32,18.34
89,las vegas,1,US,1555766459,31,71.6,36.17,-115.15,2.21
90,provideniya,96,RU,1555766318,74,2.4,64.42,-173.23,7.02
91,sorland,0,NO,1555761000,66,50.0,67.67,12.69,14.99
92,kutum,49,SD,1555766624,9,93.3,14.2,24.66,10.89
93,savannah bight,50,HN,1555766624,80,80.52,16.45,-85.85,16.89
94,dikson,72,RU,1555766317,93,4.2,73.51,80.55,11.39
95,kuryk,100,KZ,1555766624,42,50.82,43.18,51.68,9.69
96,saskylakh,74,RU,1555766334,95,8.7,71.97,114.09,4.05
97,hirara,1,JP,1555766624,88,76.2,24.8,125.28,13.06
98,cidreira,21,BR,1555766343,78,72.24,-30.17,-50.22,8.63
99,omboue,100,GA,1555766339,79,81.96,-1.57,9.26,9.24
100,tasiilaq,75,GL,1555764600,86,37.4,65.61,-37.64,13.87
101,hasaki,75,JP,1555766227,76,54.0,35.73,140.83,2.24
102,avarua,43,CK,1555763400,56,73.4,-21.21,-159.78,4.7
103,albany,75,US,1555766019,73,69.8,42.65,-73.75,9.24
104,narrabri,18,AU,1555761600,49,71.6,-30.33,149.78,3.36
105,puerto escondido,5,MX,1555764060,60,71.6,15.86,-97.07,5.82
106,manakara,93,MG,1555766625,86,76.2,-22.14,48.01,8.46
107,coahuayana,22,MX,1555766625,48,75.84,18.62,-100.35,2.48
108,wattegama,100,LK,1555766625,88,79.44,7.35,80.68,3.47
109,rawson,0,AR,1555766342,52,53.7,-43.3,-65.11,9.13
110,taoudenni,48,ML,1555766625,11,91.5,22.68,-3.98,18.7
111,belaya gora,0,RU,1555766626,86,9.06,68.54,146.19,3.78
112,hobyo,16,SO,1555766626,60,89.52,5.35,48.53,12.06
113,igrim,99,RU,1555766382,75,41.1,63.19,64.42,4.54
114,dingle,24,PH,1555766348,55,79.26,11.0,122.67,6.33
115,qena,0,EG,1555761600,28,82.4,26.16,32.72,9.17
116,magnitogorsk,64,RU,1555763400,18,50.0,53.42,58.98,8.95
117,vila do maio,20,CV,1555765200,51,82.4,15.13,-23.22,16.11
118,haines junction,46,CA,1555766381,52,21.12,60.75,-137.51,4.29
119,silver city,1,US,1555766598,39,55.0,32.77,-108.28,10.29
120,kenai,1,US,1555766524,80,30.99,60.55,-151.26,11.41
121,constitucion,6,MX,1555765217,26,51.01,23.99,-104.67,8.01
122,nanortalik,73,GL,1555766326,85,31.92,60.14,-45.24,3.83
123,victoria,75,BN,1555763400,83,84.2,5.28,115.24,7.52
124,sobolevo,100,RU,1555766627,56,52.98,54.43,31.9,6.49
125,canmore,75,CA,1555766160,100,30.99,51.09,-115.35,5.82
126,skjervoy,28,NO,1555766627,94,40.92,70.03,20.97,15.19
127,savinka,0,RU,1555766627,24,53.7,50.08,47.1,4.59
128,yellowknife,90,CA,1555765964,85,17.6,62.45,-114.38,10.29
129,woodward,1,US,1555766242,50,52.0,36.43,-99.39,11.41
130,englehart,1,CA,1555765200,74,35.6,47.82,-79.87,3.36
131,vila franca do campo,75,PT,1555765200,68,66.2,37.72,-25.43,13.87
132,aksarka,69,RU,1555766504,92,28.86,66.56,67.8,9.69
133,kahului,40,US,1555766220,78,73.4,20.89,-156.47,13.87
134,tyumentsevo,100,RU,1555766628,31,43.98,53.32,81.5,5.35
135,perth,0,GB,1555766268,67,71.01,56.4,-3.43,2.24
136,grants pass,90,US,1555766305,76,52.0,42.44,-123.33,8.05
137,vila velha,89,BR,1555765258,87,77.0,-3.71,-38.6,1.01
138,port elizabeth,90,US,1555766290,93,68.0,39.31,-74.98,17.22
139,kaputa,33,ZM,1555766628,58,80.7,-8.47,29.66,5.95
140,kokopo,100,PG,1555766629,97,71.88,-4.34,152.27,2.24
141,chapais,20,CA,1555765200,55,39.2,49.78,-74.86,8.05
142,pangnirtung,91,CA,1555766344,90,16.08,66.15,-65.72,1.45
143,mogadishu,20,SO,1555761600,62,89.6,2.04,45.34,13.87
144,aleksandrov gay,13,RU,1555766629,26,52.8,50.14,48.57,5.79
145,ponta do sol,0,BR,1555766349,73,68.82,-20.63,-46.0,1.97
146,ilulissat,20,GL,1555764600,37,21.2,69.22,-51.1,6.93
147,chuy,55,UY,1555766237,82,69.72,-33.69,-53.46,16.55
148,mount isa,40,AU,1555763400,40,73.4,-20.73,139.49,8.05
149,florianopolis,0,BR,1555766505,78,79.0,-27.6,-48.55,5.82
150,jamestown,98,AU,1555766226,22,76.74,-33.21,138.6,9.6
151,nikolskoye,0,RU,1555766186,42,51.01,59.7,30.79,6.71
152,leningradskiy,100,RU,1555766319,96,3.3,69.38,178.42,3.44
153,bharatpur,10,NP,1555766629,31,81.96,27.68,84.43,2.55
154,fairbanks,40,US,1555766225,85,28.0,64.84,-147.72,5.82
155,bud,0,NO,1555766161,41,66.0,62.91,6.91,20.8
156,vao,0,EE,1555766382,40,51.36,59.1,26.19,5.82
157,big rapids,1,US,1555766627,56,44.01,43.7,-85.48,10.29
158,guerrero negro,38,MX,1555766380,87,59.46,27.97,-114.04,12.59
159,illapel,92,CL,1555766630,93,56.76,-31.63,-71.17,4.88
160,baldeogarh,0,IN,1555766630,13,96.36,24.81,78.97,10.51
161,lazaro cardenas,93,MX,1555766449,22,60.01,28.39,-105.62,4.54
162,samarai,38,PG,1555766389,93,73.32,-10.62,150.67,3.11
163,roald,0,NO,1555766166,41,66.0,62.58,6.12,20.8
164,henties bay,88,NA,1555765329,83,62.01,-22.12,14.28,7.0
165,san cristobal,75,EC,1555766204,93,55.4,-0.39,-78.55,3.36
166,nurmahal,0,IN,1555766630,20,93.48,31.1,75.6,5.57
167,takoradi,75,GH,1555766354,49,93.84,4.89,-1.75,6.67
168,hamilton,20,BM,1555766130,73,73.0,32.3,-64.78,17.22
169,teknaf,0,BD,1555766631,65,85.92,20.86,92.31,12.88
170,touros,100,BR,1555766631,75,83.94,-5.2,-35.46,9.82
171,klaksvik,81,FO,1555764600,87,46.4,62.23,-6.59,12.75
172,hermanus,5,ZA,1555766241,98,66.99,-34.42,19.24,10.38
173,aswan,0,EG,1555761600,16,86.0,24.09,32.9,10.29
174,padang,40,ID,1555761600,83,82.4,-0.92,100.36,3.36
175,tera,20,CY,1555766165,40,68.0,34.97,32.42,19.46
176,atherton,32,GB,1555766598,33,73.0,53.52,-2.49,3.36
177,dunedin,100,NZ,1555766100,91,53.01,-45.87,170.5,3.0
178,rivers,90,CA,1555765200,75,46.4,50.03,-100.23,6.93
179,iralaya,75,HN,1555761600,88,73.4,15.0,-83.23,2.39
180,riobamba,90,EC,1555761600,88,68.0,-1.67,-78.65,5.82
181,chokurdakh,0,RU,1555766310,90,6.36,70.62,147.9,5.61
182,numaligarh,54,IN,1555766632,62,77.1,26.63,93.73,1.45
183,paamiut,100,GL,1555766331,84,31.74,61.99,-49.67,16.35
184,castro,90,CL,1555761600,93,44.6,-42.48,-73.76,3.36
185,fortuna,40,ES,1555766360,93,59.0,38.18,-1.13,8.05
186,bethel,90,US,1555764300,92,24.8,60.79,-161.76,6.93
187,wakkanai,0,JP,1555766632,56,40.2,45.41,141.67,4.76
188,bobicesti,0,RO,1555765324,44,61.0,44.38,24.15,6.93
189,hay river,75,CA,1555765200,85,24.8,60.82,-115.79,6.93
190,opuwo,0,NA,1555766632,24,91.68,-18.06,13.84,7.34
191,batagay,49,RU,1555766633,75,16.62,67.65,134.64,3.87
192,georgetown,75,GY,1555761600,83,80.6,6.8,-58.16,4.7
193,labuhan,100,ID,1555766633,94,75.84,-2.54,115.51,1.21
194,ostrovnoy,92,RU,1555766352,98,36.6,68.05,39.51,20.24
195,soe,0,EE,1555766119,30,57.99,57.91,26.05,9.17
196,yumen,0,CN,1555766633,12,71.7,40.29,97.04,5.59
197,tuktoyaktuk,76,CA,1555766320,92,11.58,69.44,-133.03,10.92
198,sao joao da barra,0,BR,1555761600,74,78.8,-21.64,-41.05,4.7
199,ahipara,0,NZ,1555766633,69,65.4,-35.17,173.16,1.32
200,akureyri,75,IS,1555765200,43,50.0,65.68,-18.09,20.8
201,carnarvon,0,ZA,1555766337,17,69.18,-30.97,22.13,7.58
202,singkang,75,MY,1555765200,88,78.8,2.1,102.8,5.82
203,zlitan,18,LY,1555766634,44,72.42,32.47,14.57,21.32
204,trairi,81,BR,1555766131,90,79.98,-3.28,-39.27,2.51
205,kamenka,27,RU,1555766634,29,53.7,53.19,44.05,5.23
206,airai,44,TL,1555766336,77,76.38,-8.93,125.41,5.79
207,nantucket,90,US,1555766202,100,63.0,41.28,-70.1,17.22
208,yar-sale,63,RU,1555766634,92,15.36,66.83,70.83,3.94
209,kavieng,100,PG,1555766322,73,83.58,-2.57,150.8,3.31
210,jitauna,91,BR,1555766634,66,81.42,-14.02,-39.89,3.24
211,cherskiy,50,RU,1555766308,86,-2.28,68.75,161.3,4.16
212,bida,100,NG,1555766635,30,102.48,9.08,6.02,3.13
213,klyuchi,100,RU,1555766635,40,41.46,52.25,79.17,6.78
214,kysyl-syr,100,RU,1555766635,98,27.96,63.9,122.77,3.49
215,isangel,60,VU,1555766314,81,80.52,-19.55,169.27,24.18
216,lagoa,20,PT,1555766244,59,66.0,37.14,-8.45,9.17
217,praya,40,ID,1555765200,83,78.8,-8.71,116.27,6.93
218,sheltozero,77,RU,1555766635,82,38.4,61.37,35.37,5.77
219,mamlyutka,0,KZ,1555761600,36,48.2,54.94,68.54,13.42
220,grand-lahou,89,CI,1555766636,48,94.02,5.24,-5.0,5.19
221,sao gabriel da cachoeira,99,BR,1555766636,91,76.74,-0.13,-67.09,0.47
222,dakar,0,SN,1555765200,69,86.0,14.69,-17.45,9.17
223,kavaratti,68,IN,1555766325,67,85.2,10.57,72.64,12.46
224,walvis bay,1,NA,1555765329,43,73.4,-22.95,14.51,6.93
225,salcininkai,0,LT,1555766314,27,63.0,54.3,25.38,10.29
226,grand gaube,75,MU,1555766041,74,82.4,-20.01,57.66,11.41
227,alberton,3,ZA,1555766545,39,81.0,-26.25,28.13,2.24
228,bayangol,72,MN,1555766636,21,40.92,48.91,106.09,3.51
229,san pedro,99,AR,1555766569,63,63.0,-33.68,-59.66,8.01
230,lorengau,84,PG,1555766309,88,78.54,-2.02,147.27,1.54
231,caravelas,1,BR,1555766640,66,85.92,-17.73,-39.27,0.85
232,north bend,90,US,1555766625,81,52.0,43.41,-124.22,13.87
233,toora-khem,27,RU,1555766309,33,38.58,52.47,96.11,1.77
234,saldanha,22,PT,1555766335,41,71.34,41.42,-6.55,14.05
235,mitu,13,IR,1555766640,41,51.54,36.2,46.09,21.34
236,saint anthony,1,US,1555766225,75,46.0,43.97,-111.68,6.29
237,los llanos de aridane,40,ES,1555766185,53,71.6,28.66,-17.92,10.29
238,naze,75,NG,1555761600,66,87.8,5.43,7.07,5.82
239,astana,75,KZ,1555763400,64,37.4,51.13,71.43,4.47
240,cap malheureux,75,MU,1555766342,74,82.4,-19.98,57.61,11.41
241,shetpe,98,KZ,1555766640,26,54.06,44.14,52.16,12.97
242,staunton,1,US,1555766421,71,62.6,38.15,-79.07,12.75
243,seversk,0,RU,1555766116,41,41.0,56.6,84.88,4.47
244,kulhudhuffushi,100,MV,1555766362,75,84.3,6.62,73.07,12.35
245,russi,0,IT,1555766619,49,75.99,44.37,12.03,8.05
246,kapit,71,MY,1555766641,91,76.92,2.02,112.94,1.41
247,sibenik,0,HR,1555766641,34,66.48,45.81,17.18,6.73
248,mahibadhoo,100,MV,1555766641,75,83.22,3.78,72.97,10.87
249,belmonte,4,PT,1555766209,43,72.0,40.36,-7.35,8.99
250,margate,0,AU,1555766183,82,59.0,-43.03,147.26,5.82
251,visnes,0,NO,1555766286,38,63.0,59.36,5.22,12.75
252,luanda,20,AO,1555765200,70,86.0,-8.83,13.24,6.93
253,salalah,40,OM,1555761000,66,86.0,17.01,54.1,13.87
254,longyearbyen,90,NO,1555764600,86,30.2,78.22,15.63,9.17
255,diffa,39,NE,1555766642,7,104.1,13.32,12.61,14.12
256,katsuura,20,JP,1555765688,72,63.0,33.93,134.5,13.87
257,tigzirt,31,DZ,1555766002,75,59.0,36.57,4.2,5.99
258,yerbogachen,100,RU,1555766603,79,23.46,61.28,108.01,10.22
259,virginia beach,40,US,1555766335,77,64.99,36.85,-75.98,17.67
260,antofagasta,75,CL,1555761600,67,60.8,-23.65,-70.4,2.24
261,shingu,35,JP,1555766416,99,48.66,33.72,135.99,3.04
262,maniwaki,100,CA,1555766642,92,38.22,46.38,-75.98,8.63
263,kodiak,1,US,1555766223,93,48.99,39.95,-94.76,4.9
264,kloulklubed,75,PW,1555761180,83,80.6,7.04,134.26,9.17
265,norman wells,75,CA,1555765200,86,26.6,65.28,-126.83,4.7
266,panzhihua,0,CN,1555766643,22,76.92,26.59,101.72,4.09
267,pilar,0,AR,1555766569,63,66.0,-34.46,-58.91,4.7
268,sinnamary,84,GF,1555766392,82,81.06,5.38,-52.96,17.22
269,necochea,74,AR,1555765909,58,61.0,-38.55,-58.74,5.99
270,sao filipe,31,CV,1555766316,84,70.62,14.9,-24.5,18.25
271,tessalit,0,ML,1555766643,6,102.12,20.2,1.01,11.07
272,hami,17,CN,1555766374,17,76.56,42.84,93.51,5.44
273,barra patuca,19,HN,1555766643,78,78.72,15.8,-84.28,3.11
274,san policarpo,22,PH,1555766643,82,81.42,12.18,125.51,11.01
275,howard springs,0,AU,1555766589,78,80.6,-12.5,131.05,1.12
276,gravdal,0,NO,1555766400,41,59.0,59.79,5.78,12.75
277,torbay,90,CA,1555766267,100,43.0,47.66,-52.73,4.7
278,korgen,64,NO,1555766400,43,59.0,66.08,13.83,3.36
279,sur,0,OM,1555766492,17,97.98,22.57,59.53,6.98
280,radcliff,90,US,1555766610,100,43.0,37.84,-85.95,8.05
281,college,40,US,1555766225,85,28.0,64.86,-147.8,5.82
282,paita,29,PE,1555766644,86,70.98,-5.09,-81.11,10.74
283,kruisfontein,0,ZA,1555766344,54,67.74,-34.0,24.73,20.54
284,anklam,0,DE,1555766470,30,70.0,53.86,13.69,12.75
285,westport,75,IE,1555766524,93,60.01,53.8,-9.52,4.7
286,flinders,64,AU,1555766269,100,70.0,-34.58,150.85,3.36
287,riverton,1,US,1555766268,49,53.6,43.02,-108.38,4.7
288,washington,90,US,1555766418,93,68.0,38.9,-77.04,4.7
289,luancheng,100,CN,1555761600,93,53.6,37.88,114.65,2.24
290,morondava,0,MG,1555766349,81,83.4,-20.3,44.28,13.56
291,bozoum,74,CF,1555766646,38,92.58,6.31,16.38,4.79
292,omsukchan,95,RU,1555766646,95,26.88,62.53,155.8,3.91
293,anadyr,40,RU,1555765986,78,15.8,64.73,177.51,2.24
294,wangqing,96,CN,1555766646,63,48.3,43.31,129.76,6.82
295,loa janan,100,ID,1555766646,92,76.74,-0.58,117.09,2.46
296,port-gentil,20,GA,1555761600,78,82.4,-0.72,8.78,6.93
297,narsaq,75,GL,1555764600,51,35.6,60.91,-46.05,2.24
298,urucara,100,BR,1555766647,93,77.82,-2.54,-57.76,4.16
299,kaduna,91,NG,1555766647,6,108.42,10.52,7.44,2.1
300,tuatapere,22,NZ,1555765804,96,46.99,-46.13,167.69,6.42
301,zhangye,67,CN,1555766647,28,60.18,38.94,100.46,4.47
302,camocim,24,BR,1555766362,87,81.24,-2.9,-40.84,4.43
303,erkner,0,DE,1555766535,30,73.99,52.43,13.75,6.93
304,coquimbo,90,CL,1555761600,82,57.2,-29.95,-71.34,2.24
305,sayyan,34,YE,1555766388,44,80.52,15.17,44.32,8.03
306,pitimbu,99,BR,1555766352,71,84.66,-7.47,-34.81,6.2
307,debelec,40,BG,1555766602,51,59.0,43.03,25.62,12.75
308,uruzgan,1,AF,1555766648,25,61.98,32.93,66.63,9.82
309,lompoc,90,US,1555766212,93,55.4,34.64,-120.46,3.36
310,chateaubelair,75,VC,1555761600,83,80.6,13.28,-61.25,16.11
311,camacha,40,PT,1555763400,68,66.2,33.08,-16.33,18.34
312,zhigansk,100,RU,1555766317,82,23.1,66.77,123.37,6.11
313,minab,0,IR,1555763400,38,89.6,27.15,57.07,13.87
314,nuuk,75,GL,1555764600,51,35.6,64.17,-51.74,5.82
315,hovd,0,NO,1555766464,41,59.0,63.83,10.7,10.29
316,hit,0,IQ,1555766650,22,70.8,33.64,42.83,7.63
317,vanavara,100,RU,1555766650,88,28.68,60.35,102.28,5.93
318,douentza,0,ML,1555766393,7,102.66,15.01,-2.95,4.38
319,nome,1,US,1555766328,76,57.0,30.04,-94.42,4.41
320,san patricio,100,PY,1555766325,91,73.32,-26.98,-56.83,2.42
321,puquio,81,PE,1555766651,77,43.62,-14.69,-74.12,12.12
322,ishigaki,0,JP,1555766651,83,77.64,24.34,124.16,6.78
323,abu samrah,22,SY,1555766651,46,62.34,35.3,37.18,21.59
324,los banos,1,US,1555766344,100,57.0,37.06,-120.85,6.93
325,arraial do cabo,0,BR,1555761600,78,80.6,-22.97,-42.02,6.93
326,bandundu,80,CD,1555766652,42,93.66,-3.32,17.38,1.19
327,hervey bay,40,AU,1555766108,94,72.0,-25.3,152.85,9.17
328,thompson,90,CA,1555762620,92,26.6,55.74,-97.86,11.41
329,kajaani,0,FI,1555764600,53,50.0,64.22,27.73,6.93
330,okha,100,RU,1555766388,89,33.36,53.59,142.95,14.38
331,suhbaatar,37,MN,1555766652,21,39.48,50.23,106.21,7.18
332,dothan,1,US,1555766622,71,52.0,31.22,-85.39,16.11
333,umm kaddadah,73,SD,1555766347,6,99.42,13.6,26.69,17.69
334,port blair,1,IN,1555766372,74,86.28,11.67,92.75,11.45
335,bonavista,100,CA,1555766165,86,41.0,48.65,-53.11,5.99
336,vestmannaeyjar,40,IS,1555765200,81,42.8,63.44,-20.27,25.28
337,laguna,76,MX,1555766351,33,72.06,27.52,-110.01,5.97
338,french harbor,90,HN,1555765200,83,75.2,16.35,-86.43,6.93
339,plon,5,AT,1555766611,13,69.01,46.92,12.49,5.28
340,sibu,75,MY,1555761600,88,82.4,2.29,111.83,2.24
341,kieta,100,PG,1555766653,73,83.04,-6.22,155.63,4.38
342,maha sarakham,20,TH,1555761600,36,95.0,16.19,103.3,4.7
343,nyurba,100,RU,1555766653,81,22.2,63.29,118.35,4.03
344,san andres,33,PH,1555766654,63,81.42,13.32,122.68,1.43
345,senanga,78,ZM,1555766310,36,87.72,-16.1,23.3,5.84
346,rosario do sul,93,BR,1555766394,86,72.24,-30.26,-54.91,0.25
347,port lincoln,100,AU,1555766330,85,61.8,-34.72,135.86,24.54
348,chapleau,5,CA,1555765200,64,35.6,47.85,-83.4,3.62
349,shiyan,100,CN,1555766408,41,60.01,32.65,110.78,1.99
350,iqaluit,40,CA,1555766562,77,5.0,63.75,-68.52,24.16
351,buchanan,75,LR,1555765200,59,91.4,5.88,-10.05,7.49
352,gerash,0,IR,1555761600,26,91.4,27.67,54.14,6.93
353,oga,100,NG,1555766655,42,95.46,8.18,5.65,3.24
354,sarakhs,54,TM,1555766655,47,71.16,36.54,61.16,6.82
355,kargasok,88,RU,1555766655,77,33.18,59.06,80.87,9.17
356,colares,20,PT,1555766438,60,73.4,38.8,-9.45,12.75
357,la union,96,GT,1555766656,80,66.84,14.97,-89.29,4.94
358,hemer,0,DE,1555766560,28,77.0,51.39,7.77,10.29
359,zenzeli,69,RU,1555766656,21,55.32,45.92,47.05,9.78
360,adrar,0,DZ,1555765200,9,91.4,27.87,-0.29,23.04
361,mapimi,40,MX,1555764000,25,60.8,25.82,-103.85,7.4
362,sulangan,19,PH,1555766656,69,84.84,11.14,123.72,5.26
363,marovoay,20,MG,1555765200,49,93.2,-16.11,46.64,4.7
364,tongchuan,90,CN,1555761600,100,59.0,34.9,108.95,2.24
365,richards bay,0,ZA,1555766657,73,81.96,-28.77,32.06,5.23
366,mount gambier,100,AU,1555761600,35,73.4,-37.83,140.78,9.17
367,whitehaven,1,US,1555766578,81,52.0,35.03,-90.03,13.87
368,waiuku,55,NZ,1555766412,87,55.4,-37.25,174.73,2.24
369,balkanabat,100,TM,1555766362,76,51.18,39.51,54.36,9.33
370,jasper,100,US,1555766351,87,48.2,33.83,-87.28,10.85
371,kudahuvadhoo,100,MV,1555766657,75,84.66,2.67,72.89,18.66
372,lata,68,IN,1555766325,98,34.08,30.78,78.62,6.38
373,aksu,90,KZ,1555763400,38,41.0,52.04,76.93,8.95
374,sola,0,NO,1555766286,33,64.0,58.89,5.65,11.41
375,clarence town,0,AU,1555766436,93,70.0,-32.59,151.78,5.82
376,norcasia,96,CO,1555766658,65,70.26,5.58,-74.89,2.57
377,alamor,75,EC,1555761600,94,89.6,-4.02,-80.02,3.91
378,rocha,77,UY,1555766347,72,65.94,-34.48,-54.34,11.23
379,gulfport,1,US,1555766269,76,55.99,30.37,-89.09,10.29
380,boyolangu,100,ID,1555766659,87,74.76,-8.09,111.9,3.83
381,la libertad,0,PE,1555765200,51,60.8,-16.38,-71.56,2.24
382,mutsu,75,JP,1555766409,52,46.4,41.29,141.2,9.46
383,bosaso,20,SO,1555765200,84,86.0,11.28,49.18,11.41
384,ryotsu,54,JP,1555761600,57,51.8,38.08,138.43,4.7
385,gizo,20,IL,1555766317,52,68.0,31.8,34.94,17.22
386,hofu,20,JP,1555765987,88,66.2,34.05,131.57,3.36
387,xique-xique,99,BR,1555766660,73,80.34,-10.82,-42.73,9.86
